what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1602228477135
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1602228477141
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602228678525
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602228679656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602228680180
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602228681511
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602228684484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602228685766
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602228688821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602228689376
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602228689614
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602228694134
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602228990242
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602228992163
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602228994965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602229314265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1602229321090
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1602229325547
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1602229351420
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1602229381478
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1602229385210
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602229390779
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602229393925
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602229403326
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602229404848
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602229409642
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602229411522
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1602229412304
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602229415227
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1602229419343
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602229424948
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602229484586
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1602229509424
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1602229513571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602229519922
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602229523117
