what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1602230817961
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1602230817962
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1602230817962
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1602230817963
started,bundle,com.altera.sbtgui.integration,11.0.0.208,"com.altera.sbtgui.integration",1602230817963
started,bundle,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch",1602230817964
started,bundle,com.altera.sbtgui.project,11.0.0.208,"com.altera.sbtgui.project",1602230817964
started,bundle,com.altera.systemconsole,11.0.0.208,"com.altera.systemconsole",1602230817965
started,bundle,com.altera.utilities,11.0.0.208,"com.altera.utilities",1602230817965
os,sysinfo,,,"win32",1602230817967
arch,sysinfo,,,"x86",1602230817967
ws,sysinfo,,,"win32",1602230817967
locale,sysinfo,,,"fr_FR",1602230817967
processors,sysinfo,,,"8",1602230817967
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1602230817967
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1602230817967
java.specification.name,sysinfo,,,"Java Platform API Specification",1602230817967
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1602230817967
java.specification.version,sysinfo,,,"1.6",1602230817967
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1602230817967
java.version,sysinfo,,,"1.6.0_23",1602230817967
java.vm.info,sysinfo,,,"mixed mode",1602230817967
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1602230817967
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1602230817967
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1602230817967
java.vm.specification.version,sysinfo,,,"1.0",1602230817967
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1602230817967
java.vm.version,sysinfo,,,"19.0-b09",1602230817967
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1602230821052
started,bundle,com.altera.sbtgui.core,11.0.0.208,"com.altera.sbtgui.core",1602230822958
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1602230823001
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1602230825477
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602230825487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602230827126
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1602230833726
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1602230833739
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1602230833741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602230835286
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602230836976
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1602230838699
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1602230838720
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1602230842308
opened,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602230843060
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1602230843310
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1602230843314
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1602230843315
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1602230843315
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1602230843320
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602230852384
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602230881103
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1602230885644
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1602230889365
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602230893204
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602230896428
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602230901580
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602230903492
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1602230904316
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602230907308
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1602230911156
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602230916994
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602230932238
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602231138490
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602231140340
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602231142153
