what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1602225289464
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1602225289464
java.vm.version,sysinfo,,,"19.0-b09",1602225289464
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1602225292210
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602225296154
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1602225297495
started,bundle,com.altera.sbtgui.core,11.0.0.208,"com.altera.sbtgui.core",1602225297979
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1602225298017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602225301883
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602225303659
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1602225309168
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1602225309172
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602225310628
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602225312409
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1602225313768
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1602225313786
opened,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602225318408
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1602225318698
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1602225318730
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1602225318731
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1602225318731
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1602225318736
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602225331603
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1602225342029
started,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.208,"com.altera.debug.cdi.gdb.plugin",1602225356012
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602225356062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602225360670
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602225369654
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1602225376813
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1602225384452
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602225385637
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1602225388449
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1602225390634
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602225395628
